fecha,Sucursal,bodega,sector,tipo,venta_neta,lineas,facturas
2024-05-01,Medellín,1,Health/Social,historico,6812758.0,48.0,26.0
2024-06-01,Medellín,1,Health/Social,historico,14704530.0,56.0,31.0
2024-07-01,Medellín,1,Health/Social,historico,17699603.0,89.0,40.0
2024-08-01,Medellín,1,Health/Social,historico,16353829.0,35.0,18.0
2024-09-01,Medellín,1,Health/Social,historico,9242741.0,38.0,27.0
2024-10-01,Medellín,1,Health/Social,historico,12631078.0,51.0,24.0
2024-11-01,Medellín,1,Health/Social,historico,33147047.0,36.0,18.0
2024-12-01,Medellín,1,Health/Social,historico,21517774.0,60.0,33.0
2025-01-01,Medellín,1,Health/Social,historico,3542689.0,19.0,14.0
2025-02-01,Medellín,1,Health/Social,historico,38713429.0,93.0,36.0
2025-03-01,Medellín,1,Health/Social,historico,12734640.0,80.0,38.0
2025-04-01,Medellín,1,Health/Social,historico,56419503.0,72.0,31.0
2025-05-01,Medellín,1,Health/Social,historico,20719867.31,85.0,31.0
2025-06-01,Medellín,1,Health/Social,historico,20117674.55,67.0,39.0
2025-07-01,Medellín,1,Health/Social,historico,39683024.58,79.0,45.0
2025-08-01,Medellín,1,Health/Social,historico,15059696.0,55.0,28.0
2025-09-01,Medellín,1,Health/Social,historico,31303341.0,109.0,47.0
2025-10-01,Medellín,1,Health/Social,historico,14349187.0,53.0,31.0
2025-11-01,Medellín,1,Health/Social,historico,19092173.0,67.0,39.0
2025-12-01,Medellín,1,Health/Social,historico,9977299.42,66.0,36.0
2026-01-01,Medellín,1,Health/Social,historico,37308734.0,48.0,25.0
2026-02-01,Medellín,1,Health/Social,historico,8310997.0,39.0,23.0
2026-03-01,Medellín,1,Health/Social,historico,20444947.0,57.0,41.0
2026-04-01,Medellín,1,Health/Social,historico,23069579.0,75.0,49.0
2024-01-01,Medellín,1,Hidrocarburo,historico,262642304.51999998,87.0,44.0
2024-02-01,Medellín,1,Hidrocarburo,historico,156295467.28,114.0,49.0
2024-03-01,Medellín,1,Hidrocarburo,historico,181478304.91,197.0,73.0
2024-04-01,Medellín,1,Hidrocarburo,historico,291585312.1,211.0,87.0
2024-05-01,Medellín,1,Hidrocarburo,historico,173273355.96,91.0,57.0
2024-06-01,Medellín,1,Hidrocarburo,historico,365069414.15000004,89.0,52.0
2024-07-01,Medellín,1,Hidrocarburo,historico,368540106.49,152.0,65.0
2024-08-01,Medellín,1,Hidrocarburo,historico,206803639.58,99.0,50.0
2024-09-01,Medellín,1,Hidrocarburo,historico,138295590.93,157.0,58.0
